280.372	1901	1
260.626	1901	2
290.211	1901	3
271.418	1901	4
238.749	1901	5
208.39	1901	6
188.01	1901	7
159.846	1901	8
165.432	1901	9
210.229	1901	10
262.177	1901	11
274.698	1901	12
270.972	1902	1
280.311	1902	2
269.538	1902	3
248.323	1902	4
231.665	1902	5
155.264	1902	6
130.835	1902	7
166.622	1902	8
143.911	1902	9
161.263	1902	10
207.923	1902	11
268.376	1902	12
286.776	1903	1
272.211	1903	2
300.758	1903	3
268.452	1903	4
249.938	1903	5
194.173	1903	6
193.822	1903	7
191.292	1903	8
183.291	1903	9
205.094	1903	10
256.737	1903	11
301.693	1903	12
287.402	1904	1
239.425	1904	2
266.122	1904	3
277.653	1904	4
243.077	1904	5
193.635	1904	6
196.694	1904	7
159.182	1904	8
188.731	1904	9
258.694	1904	10
255.864	1904	11
324.781	1904	12
297.456	1905	1
279.649	1905	2
293.974	1905	3
288.166	1905	4
272.248	1905	5
168.828	1905	6
156.988	1905	7
153.435	1905	8
178.047	1905	9
214.844	1905	10
241.873	1905	11
235.518	1905	12
329.354	1906	1
224.459	1906	2
288.637	1906	3
294.019	1906	4
247.95	1906	5
235.858	1906	6
184.236	1906	7
226.523	1906	8
172.866	1906	9
247.486	1906	10
256.749	1906	11
297.587	1906	12
258.654	1907	1
264.092	1907	2
295.074	1907	3
252.801	1907	4
247.953	1907	5
194.709	1907	6
186.783	1907	7
159.981	1907	8
187.88	1907	9
203.479	1907	10
267.074	1907	11
315.026	1907	12
264.734	1908	1
251.631	1908	2
251.154	1908	3
260.343	1908	4
248.069	1908	5
205.633	1908	6
196.406	1908	7
185.61	1908	8
225.336	1908	9
226.189	1908	10
285.235	1908	11
299.746	1908	12
259.594	1909	1
313.75	1909	2
290.761	1909	3
272.223	1909	4
283.989	1909	5
246.408	1909	6
207.068	1909	7
234.036	1909	8
165.766	1909	9
285.437	1909	10
256.735	1909	11
290.86	1909	12
288.878	1910	1
305.324	1910	2
294.291	1910	3
284.515	1910	4
273.686	1910	5
275.988	1910	6
195.526	1910	7
238.249	1910	8
225.115	1910	9
216.823	1910	10
316.617	1910	11
318.054	1910	12
274.353	1911	1
220.473	1911	2
230.224	1911	3
251.04	1911	4
248.267	1911	5
166.906	1911	6
145.317	1911	7
132.121	1911	8
149.017	1911	9
202.371	1911	10
249.601	1911	11
319.206	1911	12
263.401	1912	1
303.597	1912	2
277.87	1912	3
252.6	1912	4
268.506	1912	5
226.315	1912	6
167.908	1912	7
155.979	1912	8
158.38	1912	9
203.593	1912	10
269.397	1912	11
289.239	1912	12
294.593	1913	1
236.71	1913	2
319.451	1913	3
275.855	1913	4
246.804	1913	5
185.457	1913	6
165.14	1913	7
148.257	1913	8
164.274	1913	9
181.25	1913	10
227.136	1913	11
299.57	1913	12
299.011	1914	1
227.845	1914	2
267.267	1914	3
256.541	1914	4
200.37	1914	5
173.501	1914	6
84.8408	1914	7
120.632	1914	8
100.44	1914	9
142.268	1914	10
215.257	1914	11
261.677	1914	12
290.394	1915	1
219.216	1915	2
259.78	1915	3
288.308	1915	4
259.994	1915	5
182.667	1915	6
140.287	1915	7
184.577	1915	8
201.148	1915	9
221.244	1915	10
309.972	1915	11
289.325	1915	12
257.102	1916	1
223.656	1916	2
330.707	1916	3
258.131	1916	4
243.98	1916	5
181.494	1916	6
265.579	1916	7
261.337	1916	8
218.288	1916	9
286.102	1916	10
267.293	1916	11
294.784	1916	12
315.947	1917	1
287.235	1917	2
305.976	1917	3
250.246	1917	4
246.703	1917	5
204.652	1917	6
178.199	1917	7
288.256	1917	8
213.273	1917	9
278.038	1917	10
242.021	1917	11
303.138	1917	12
326.108	1918	1
214.567	1918	2
233.058	1918	3
266.5	1918	4
252.616	1918	5
189.742	1918	6
98.0174	1918	7
132.618	1918	8
141.983	1918	9
184.494	1918	10
254.645	1918	11
